Event ID,Date/Time UTC,Depth km,Magnitude,Latitude,Longitude,Distance From Closest Volcano
av91950416,2023-07-06 05:42:22,-1.93,1.38,56.9235,-158.0251666667,9.16 km (5.69 mi) ENE of Aniakchak (59º)
av91950371,2023-07-06 04:47:51,1.57,1.12,56.9271666667,-158.0163333333,9.83 km (6.11 mi) ENE of Aniakchak (59º)
av91107818,2023-06-17 22:51:33,3.59,1.11,56.848,-158.3056666667,9.89 km (6.14 mi) W of Aniakchak (248º)
av91106823,2023-06-05 09:46:28,-3.16,1.61,56.8128333333,-158.0605,9.56 km (5.93 mi) SSE of Aniakchak (143º)
av91106198,2023-06-02 11:57:54,-3.2,1.08,56.9241666667,-158.0628333333,7.34 km (4.56 mi) ENE of Aniakchak (50º)
av91106193,2023-06-02 11:57:12,-1.1,1.49,56.9138333333,-158.0856666667,5.54 km (3.44 mi) ENE of Aniakchak (49º)
av91106188,2023-06-02 11:55:40,-3.18,1.85,56.889,-158.1138333333,2.64 km (1.64 mi) E of Aniakchak (72º)
av91099788,2023-05-24 09:56:36,-3.2,1.75,56.9125,-158.1056666667,4.57 km (2.84 mi) NE of Aniakchak (41º)
av91099783,2023-05-24 05:22:26,-3.2,3.11,56.8968333333,-158.0951666667,4.01 km (2.49 mi) ENE of Aniakchak (65º)
av91099638,2023-05-23 02:41:16,2.06,1.95,56.943,-158.0216666667,10.60 km (6.58 mi) ENE of Aniakchak (50º)
av91103903,2023-05-18 23:58:19,-1.35,1.89,56.8965,-158.2018333333,3.30 km (2.05 mi) NW of Aniakchak (300º)
av91100373,2023-05-13 14:08:27,-0.3,2.53,56.9023333333,-158.0636666667,6.01 km (3.73 mi) ENE of Aniakchak (67º)
av91099438,2023-05-09 11:56:01,-3.2,2.33,56.8375,-158.0478333333,8.15 km (5.06 mi) SE of Aniakchak (127º)
av91099453,2023-05-09 01:51:02,-3.2,1.42,56.9115,-158.0178333333,8.97 km (5.57 mi) E of Aniakchak (68º)
av91099333,2023-05-08 00:20:12,-3.2,1.52,56.9055,-158.0721666667,5.69 km (3.54 mi) ENE of Aniakchak (62º)
av91099283,2023-05-06 19:01:35,-3.18,0.9,56.8731666667,-158.1768333333,1.62 km (1.00 mi) WSW of Aniakchak (235º)
av91098943,2023-05-04 13:04:56,-2.53,1.57,56.9113333333,-158.0581666667,6.75 km (4.19 mi) ENE of Aniakchak (61º)
av91873141,2023-05-04 01:37:55,-3.2,2.8,56.9025,-158.0695,5.69 km (3.54 mi) ENE of Aniakchak (66º)
av91098928,2023-05-03 19:49:40,-1.17,1.57,56.8881666667,-158.1123333333,2.70 km (1.67 mi) E of Aniakchak (74º)
av91098873,2023-05-03 06:45:25,-3.2,1.28,56.8961666667,-158.0891666667,4.32 km (2.68 mi) E of Aniakchak (68º)
av91098833,2023-05-02 22:25:01,-1.32,1.8,56.8601666667,-158.0646666667,5.98 km (3.71 mi) SE of Aniakchak (113º)
av91098818,2023-05-02 13:36:33,-3.2,1.7,56.896,-158.1651666667,1.73 km (1.07 mi) N of Aniakchak (339º)
av91098683,2023-05-01 01:20:48,-2.64,3.08,56.8246666667,-158.0328333333,9.75 km (6.06 mi) SE of Aniakchak (130º)
av91867906,2023-04-29 14:47:31,-0.8,2.27,56.8501666667,-158.1338333333,3.71 km (2.31 mi) S of Aniakchak (160º)
av91098738,2023-04-29 09:19:04,0.07,1.31,56.8486666667,-158.1085,4.62 km (2.87 mi) SSE of Aniakchak (142º)
av91098723,2023-04-29 08:12:49,-1.56,2.79,56.9085,-158.0918333333,4.87 km (3.03 mi) ENE of Aniakchak (52º)
