-161.000000,53.300000,0.008673	-162.925000,53.325000,17.254864
-161.000000,53.300000,0.008673	-162.825000,53.325000,15.544710
-161.000000,53.300000,0.008673	-162.725000,53.325000,14.450747
-161.000000,53.300000,0.008567	-162.675000,53.325000,13.525053
-161.000000,53.300000,0.008567	-162.575000,53.325000,12.487199
-161.000000,53.300000,0.008567	-162.475000,53.325000,11.838599
-161.000000,53.300000,0.008567	-162.425000,53.325000,11.300547
-161.000000,53.300000,0.008567	-162.325000,53.325000,10.707127
-161.000000,53.300000,0.008567	-162.225000,53.325000,10.341341
-161.000000,53.300000,0.008567	-162.175000,53.325000,10.040388
-161.000000,53.300000,0.008567	-162.075000,53.325000,9.708553
-161.000000,53.300000,0.008567	-161.975000,53.325000,9.502074
-161.000000,53.300000,0.008567	-161.925000,53.325000,9.328163
-161.000000,53.300000,0.008567	-161.825000,53.325000,9.128757
-161.000000,53.300000,0.008567	-161.725000,53.325000,8.997700
-161.000000,53.300000,0.008459	-161.675000,53.325000,8.879579
-161.000000,53.300000,0.008459	-161.575000,53.325000,8.733637
-161.000000,53.300000,0.008459	-161.475000,53.325000,8.630054
-161.000000,53.300000,0.008459	-161.425000,53.325000,8.530000
-161.000000,53.300000,0.008459	-161.325000,53.325000,8.399372
-161.000000,53.360000,0.010546	-163.325000,53.375000,28.672249
-161.000000,53.360000,0.010345	-163.225000,53.375000,26.196098
-161.000000,53.360000,0.010200	-163.175000,53.375000,23.983917
-161.000000,53.360000,0.009968	-163.075000,53.375000,21.362120
-161.000000,53.360000,0.009886	-162.975000,53.375000,19.628822
-161.000000,53.360000,0.009716	-162.925000,53.375000,18.114117
-161.000000,53.360000,0.009537	-162.825000,53.375000,16.364655
-161.000000,53.360000,0.009445	-162.725000,53.375000,15.239721
-161.000000,53.360000,0.009350	-162.675000,53.375000,14.282425
-161.000000,53.360000,0.009254	-162.575000,53.375000,13.202734
-161.000000,53.360000,0.009254	-162.475000,53.375000,12.523685
-161.000000,53.360000,0.009155	-162.425000,53.375000,11.956831
-161.000000,53.360000,0.009054	-162.325000,53.375000,11.327948
-161.000000,53.360000,0.009054	-162.225000,53.375000,10.938095
-161.000000,53.360000,0.009054	-162.175000,53.375000,10.615799
-161.000000,53.360000,0.008951	-162.075000,53.375000,10.259118
-161.000000,53.360000,0.008951	-161.975000,53.375000,10.036572
-161.000000,53.360000,0.008951	-161.925000,53.375000,9.848878
-161.000000,53.360000,0.008951	-161.825000,53.375000,9.633640
-161.000000,53.360000,0.008847	-161.725000,53.375000,9.492268
-161.000000,53.360000,0.008847	-161.675000,53.375000,9.364967
-161.000000,53.360000,0.008847	-161.575000,53.375000,9.207762
-161.000000,53.360000,0.008847	-161.475000,53.375000,9.096152
-161.000000,53.360000,0.008847	-161.425000,53.375000,8.988178
-161.000000,53.360000,0.008847	-161.325000,53.375000,8.846825
-161.000000,53.360000,0.008847	-161.225000,53.375000,8.741987
-161.000000,53.480000,0.011188	-163.425000,53.475000,33.865719
-161.000000,53.480000,0.010992	-163.325000,53.475000,30.184231
