-163.000000 53.000000 -0.000102	-166.250000 52.550000 14.758281 
-163.000000 53.000000 -0.000102	-166.200000 52.550000 14.494860 
-163.000000 53.000000 -0.000102	-166.150000 52.550000 14.247950 
-163.000000 53.000000 -0.000102	-166.100000 52.550000 14.014903 
-163.000000 53.000000 -0.000102	-166.050000 52.550000 13.793654 
-163.000000 53.000000 -0.000102	-166.000000 52.550000 13.582603 
-163.000000 53.000000 -0.000102	-165.950000 52.550000 13.380507 
-163.000000 53.000000 -0.000102	-165.900000 52.550000 13.186389 
-163.000000 53.000000 -0.000102	-165.850000 52.550000 12.999455 
-163.000000 53.000000 -0.000102	-165.800000 52.550000 12.819030 
-163.000000 53.000000 -0.000102	-165.750000 52.550000 12.644509 
-163.000000 53.000000 -0.000102	-165.700000 52.550000 12.475331 
-163.000000 53.000000 -0.000102	-165.650000 52.550000 12.310948 
-163.000000 53.000000 -0.000102	-165.600000 52.550000 12.150828 
-163.000000 53.000000 -0.000102	-165.550000 52.550000 11.994448 
-163.000000 53.000000 -0.000102	-165.500000 52.550000 11.841300 
-163.000000 53.000000 -0.000102	-165.450000 52.550000 11.690905 
-163.000000 53.000000 -0.000102	-165.400000 52.550000 11.542815 
-163.000000 53.000000 -0.000102	-165.350000 52.550000 11.396627 
-163.000000 53.000000 -0.000102	-165.300000 52.550000 11.251985 
-163.000000 53.000000 -0.000102	-165.250000 52.550000 11.108589 
-163.000000 53.000000 -0.000102	-165.200000 52.550000 10.966195 
-163.000000 53.000000 -0.000102	-165.150000 52.550000 10.824617 
-163.000000 53.000000 -0.000102	-165.100000 52.550000 10.683731 
-163.000000 53.000000 -0.000102	-165.050000 52.550000 10.543464 
-163.000000 53.000000 -0.000102	-165.000000 52.550000 10.403795 
-163.000000 53.000000 -0.000102	-164.950000 52.550000 10.264749 
-163.000000 53.000000 -0.000102	-164.900000 52.550000 10.126386 
-163.000000 53.000000 -0.000102	-164.850000 52.550000 9.988791 
-163.000000 53.000000 -0.000102	-164.800000 52.550000 9.852067 
-163.000000 53.000000 -0.000102	-164.750000 52.550000 9.716327 
-163.000000 53.000000 -0.000102	-166.850000 52.600000 21.655142 
-163.000000 53.000000 -0.000102	-166.800000 52.600000 21.120512 
-163.000000 53.000000 -0.000102	-166.750000 52.600000 20.454817 
-163.000000 53.000000 -0.000102	-166.700000 52.600000 19.764820 
-163.000000 53.000000 -0.000102	-166.650000 52.600000 19.107128 
-163.000000 53.000000 -0.000102	-166.600000 52.600000 18.506901 
-163.000000 53.000000 -0.000102	-166.550000 52.600000 17.970249 
-163.000000 53.000000 -0.000102	-166.500000 52.600000 17.492249 
-163.000000 53.000000 -0.000102	-166.450000 52.600000 17.064331 
-163.000000 53.000000 -0.000159	-166.400000 52.600000 16.678625 
-163.000000 53.000000 -0.000159	-166.350000 52.600000 16.328218 
-163.000000 53.000000 -0.000159	-166.300000 52.600000 16.007181 
-163.000000 53.000000 -0.000159	-166.250000 52.600000 15.710542 
-163.000000 53.000000 -0.000159	-166.200000 52.600000 15.434221 
-163.000000 53.000000 -0.000159	-166.150000 52.600000 15.174937 
-163.000000 53.000000 -0.000159	-166.100000 52.600000 14.930089 
-163.000000 53.000000 -0.000159	-166.050000 52.600000 14.697641 
-163.000000 53.000000 -0.000159	-166.000000 52.600000 14.475999 
-163.000000 53.000000 -0.000159	-165.950000 52.600000 14.263905 
-163.000000 53.000000 -0.000159	-165.900000 52.600000 14.060340 
-163.000000 53.000000 -0.000159	-165.850000 52.600000 13.864447 
-163.000000 53.000000 -0.000159	-165.800000 52.600000 13.675467 
-163.000000 53.000000 -0.000159	-165.750000 52.600000 13.492700 
-163.000000 53.000000 -0.000159	-165.700000 52.600000 13.315475 
-163.000000 53.000000 -0.000159	-165.650000 52.600000 13.143138 
-163.000000 53.000000 -0.000159	-165.600000 52.600000 12.975047 
-163.000000 53.000000 -0.000159	-165.550000 52.600000 12.810579 
-163.000000 53.000000 -0.000159	-165.500000 52.600000 12.649139 
-163.000000 53.000000 -0.000159	-165.450000 52.600000 12.490171 
-163.000000 53.000000 -0.000159	-165.400000 52.600000 12.333171 
-163.000000 53.000000 -0.000159	-165.350000 52.600000 12.177694 
-163.000000 53.000000 -0.000159	-165.300000 52.600000 12.023362 
-163.000000 53.000000 -0.000159	-165.250000 52.600000 11.869869 
-163.000000 53.000000 -0.000159	-165.200000 52.600000 11.716976 
-163.000000 53.000000 -0.000159	-165.150000 52.600000 11.564519 
-163.000000 53.000000 -0.000159	-165.100000 52.600000 11.412396 
-163.000000 53.000000 -0.000159	-165.050000 52.600000 11.260568 
-163.000000 53.000000 -0.000159	-165.000000 52.600000 11.109049 
-163.000000 53.000000 -0.000159	-164.950000 52.600000 10.957894 
-163.000000 53.000000 -0.000159	-164.900000 52.600000 10.807196 
-163.000000 53.000000 -0.000159	-164.850000 52.600000 10.657064 
-163.000000 53.000000 -0.000159	-164.800000 52.600000 10.507625 
-163.000000 53.000000 -0.000159	-164.750000 52.600000 10.359004 
-163.000000 53.000000 -0.000159	-164.700000 52.600000 10.211328 
-163.000000 53.000000 -0.000159	-164.650000 52.600000 10.064715 
-163.000000 53.000000 -0.000159	-164.600000 52.600000 9.919287 
-163.000000 53.000000 -0.000159	-164.550000 52.600000 9.775160 
-163.000000 53.000000 -0.000159	-166.850000 52.650000 22.862392 
-163.000000 53.000000 -0.000159	-166.800000 52.650000 22.297243 
-163.000000 53.000000 -0.000159	-166.750000 52.650000 21.607939 
-163.000000 53.000000 -0.000159	-166.700000 52.650000 20.898182 
-163.000000 53.000000 -0.000159	-166.650000 52.650000 20.222769 
-163.000000 53.000000 -0.000159	-166.600000 52.650000 19.605848 
-163.000000 53.000000 -0.000159	-166.550000 52.650000 19.053040 
-163.000000 53.000000 -0.000159	-166.500000 52.650000 18.559246 
-163.000000 53.000000 -0.000159	-166.450000 52.650000 18.115873 
-163.000000 53.000000 -0.000159	-166.400000 52.650000 17.715065 
-163.000000 53.000000 -0.000159	-166.350000 52.650000 17.349951 
-163.000000 53.000000 -0.000159	-166.300000 52.650000 17.014662 
-163.000000 53.000000 -0.000159	-166.250000 52.650000 16.704300 
-163.000000 53.000000 -0.000159	-166.200000 52.650000 16.414864 
-163.000000 53.000000 -0.000159	-166.150000 52.650000 16.143135 
-163.000000 53.000000 -0.000159	-166.100000 52.650000 15.886564 
-163.000000 53.000000 -0.000159	-166.050000 52.650000 15.643145 
-163.000000 53.000000 -0.000159	-166.000000 52.650000 15.411285 
-163.000000 53.000000 -0.000159	-165.950000 52.650000 15.189698 
-163.000000 53.000000 -0.000217	-165.900000 52.650000 14.977312 
-163.000000 53.000000 -0.000217	-165.850000 52.650000 14.773185 
-163.000000 53.000000 -0.000217	-165.800000 52.650000 14.576458 
-163.000000 53.000000 -0.000217	-165.750000 52.650000 14.386313 
-163.000000 53.000000 -0.000217	-165.700000 52.650000 14.201952 
-163.000000 53.000000 -0.000217	-165.650000 52.650000 14.022590 
-163.000000 53.000000 -0.000217	-165.600000 52.650000 13.847459 
-163.000000 53.000000 -0.000217	-165.550000 52.650000 13.675822 
-163.000000 53.000000 -0.000217	-165.500000 52.650000 13.506981 
