mag,lat,lon,depth,time
0.6,64.4822,-147.0212,-3.0,608038906.72
1.8,65.8733,-146.2452,0.15,608058486.21
0.7,64.9938,-147.1395,-1.22,608065755.88
2.0,64.0235,-148.1598,110.29,608096207.18
1.5,64.2725,-147.9567,15.83,608116142.36
0.6,64.1615,-147.9812,8.26,608122114.01
0.8,65.0838,-146.4293,5.14,608123559.35
0.5,64.6697,-146.7415,-0.47,608153624.26
1.2,64.3002,-147.971,19.08,608157234.14
1.7,64.2873,-147.9345,17.88,608157261.33
0.6,64.7223,-147.596,18.27,608167724.95
0.3,64.9145,-147.98,-0.47,608239281.7
0.6,64.9188,-147.9847,2.16,608254133.17
0.9,64.7532,-146.5872,-1.12,608287813.61
0.0,64.8265,-148.1472,-0.56,608293862.41
0.3,64.2695,-147.983,3.73,608330815.26
0.2,64.8782,-147.9442,6.6,608334111.55
0.7,64.7285,-147.3653,11.83,608339660.17
1.3,64.4332,-147.386,-0.05,608349123.93
1.4,64.7293,-146.797,-0.94,608404320.4
0.8,64.8137,-147.4875,15.85,608409961.2
0.3,64.9067,-147.9698,-0.18,608410851.17
0.9,64.7603,-147.1677,-0.84,608469055.93
0.5,64.9125,-147.9843,-3.0,608497910.94
0.7,64.9987,-147.1033,-1.18,608583717.56
1.1,64.8482,-148.739,12.65,608656668.8
0.8,64.5732,-147.0685,-0.96,608691752.38
1.6,65.0472,-148.7108,16.35,608697320.83
1.1,65.055,-148.996,21.06,608698646.94
0.9,64.8543,-147.328,12.02,608745754.45
0.8,64.7518,-147.4942,14.07,608815095.47
1.0,64.2137,-148.008,7.58,608850759.61
0.6,64.5097,-147.8143,-0.59,608863387.24
0.3,64.2773,-147.4047,-0.29,608875170.99
1.2,64.334,-148.3218,18.13,608923727.57
1.1,64.4368,-147.3893,-0.01,608938600.58
1.3,65.0228,-147.0598,-3.0,609010003.33
1.1,65.0887,-148.6708,-2.46,609030419.55
0.9,65.0107,-148.6287,17.3,609056878.62
0.9,65.0007,-148.5948,17.77,609057338.31
0.8,65.2048,-146.875,13.84,609180780.0
0.9,64.7087,-148.979,-0.49,609183629.34
0.4,64.916,-147.9897,1.8,609190067.86
0.1,64.9133,-147.9853,-0.33,609207228.07
0.7,64.6552,-146.9477,-3.0,609238806.37
-0.1,64.9115,-147.8932,-3.0,609242300.04
0.8,64.6578,-146.9297,-1.44,609259143.12
1.2,64.655,-146.9352,-3.0,609263435.82
0.9,65.0533,-147.013,-0.59,609268078.11
1.5,64.6523,-146.9278,-1.03,609292807.17
1.5,64.6587,-146.9287,-3.0,609292826.7
0.5,64.6578,-146.9297,-0.7,609295867.24
2.2,64.6653,-146.8767,11.64,609304427.37
2.4,65.015,-148.923,20.65,609341264.37
0.8,65.0388,-147.102,-1.2,609352159.93
1.4,64.7782,-147.7493,18.05,609516248.61
0.7,65.06,-147.0253,3.72,609526721.36
1.3,64.734,-147.4147,8.74,609639555.24
1.9,64.8443,-147.2862,7.85,609645168.39
0.7,64.6585,-146.9247,-0.47,609658529.59
1.3,64.268,-148.9155,14.72,609762544.26
0.7,64.7788,-147.3482,-0.26,609767307.83
0.5,64.9172,-147.9935,-1.04,609794806.18
0.8,64.8973,-148.6867,0.82,609832178.24
1.4,64.5495,-147.108,-0.86,609843735.32
1.1,64.7738,-148.1755,14.16,609876151.41
1.4,64.865,-146.675,3.08,609903137.45
